,action_type,author.name,message,message_type,timestamp
162,add_chat_item,Marcus Burke,EE ZEE,text_message,1703712085087683
163,add_chat_item,Lobo Joguinhos,Tricia just went oof oof oof oof,text_message,1703712094838646
164,add_chat_item,Cole Mitchell,gg,text_message,1703712103351611
165,add_chat_item,Graham Dennis,what number do you think he will die from fall damage,text_message,1703712105165774
166,add_chat_item,AntiRoidzBoy,finally caught a stream live!!,text_message,1703712106161593
167,add_chat_item,Cole Mitchell,now onto gargs,text_message,1703712112374237
168,add_chat_item,Nedsims67,This is making me wanna do a slicer run,text_message,1703712115230394
169,add_chat_item,Nikša Anić,did anyone inform mr streamer that int is OP,text_message,1703712117936379
170,add_chat_item,Jan Rasmussen,Yes @Graham Dennis gravity is a bitch,text_message,1703712144567736
171,add_chat_item,Nikša Anić,YEP,text_message,1703712145403804
172,add_chat_item,Talha Topbaş,it will end today i guess,text_message,1703712147322818
173,add_chat_item,Ricardo sanchez,I played for like 2hrs on Sunday then my game crashed and nothing saved :disappointed_face:,text_message,1703712155746186
174,add_chat_item,prune3244,I am from Bangladesh I am from Bangladesh ,text_message,1703712155877532
175,add_chat_item,NOSFAT _42,YEP,text_message,1703712157419734
176,add_chat_item,batsh- 47,i got excited watching you and tried to play elden ring with no wepons upgrade and that was not fun,text_message,1703712158100420
177,add_chat_item,Maple,did you kill Mohg?,text_message,1703712160812692
178,add_chat_item,EllieKatt,I am still rooting for Rick Gargoyles,text_message,1703712166658517
179,add_chat_item,Cole Mitchell,nope,text_message,1703712168700276
180,add_chat_item,Josh,Would you ever do a challenge where you have to kill every enemy from an entire area before going on to the next area?,text_message,1703712170266850
181,add_chat_item,zephyra eurus,who's left to be in this arena,text_message,1703712183060875
182,add_chat_item,Talha Topbaş,i was here already,text_message,1703712184596451
183,add_chat_item,Nikša Anić,uuuff gargs in radagons arena would be fucked,text_message,1703712191444237
184,add_chat_item,Nikša Anić,Gravity death incoming,text_message,1703712196565279
185,add_chat_item,Jan Rasmussen,Pissballs walkes in looking for the bin just as Bushy starts the Gargs fight! :),text_message,1703712197422859
186,add_chat_item,Dark Magpie Studios,and maybe malenia,text_message,1703712205636315
187,add_chat_item,Tom Hast,gibb mastro,text_message,1703712209683975
188,add_chat_item,Graham Dennis,has he fought john eldenring?,text_message,1703712219912712
189,add_chat_item,janhart ,yes u can see gideon before u enter the arena,text_message,1703712233318423
190,add_chat_item,Nikša Anić,Gravity of the Haligtree,text_message,1703712236009729
191,add_chat_item,BlackCat,thanks for the heart attack ,text_message,1703712243130526
